method,scenario,n,mean_delta_min_risk_pct,mean_delta_max_return_pct,mean_delta_pareto_points,mean_delta_elapsed_sec
combined_pareto,mu_noise_10,2,0.0,-0.43319938124449187,3.5,3.1579203605651855
combined_pareto,mu_noise_25,2,0.0,-2.007687105930243,-3.5,-1.1068915128707886
combined_pareto,sigma_scale_080,2,-19.999999999999986,0.0,-4.0,1.4874346256256104
combined_pareto,sigma_scale_120,2,20.00000000000002,0.0,-6.5,3.2695761919021606
combined_pareto,sigma_shrink_30,2,-12.887452841134486,-1.91386633150884e-11,-0.5,0.7595607042312622
epsilon_constraint,mu_noise_10,2,0.0069545561902126145,-1.828916455677343,0.0,3.0866557359695435
epsilon_constraint,mu_noise_25,2,0.001338180124219072,-0.7527415797400577,0.0,-1.0682971477508545
epsilon_constraint,sigma_scale_080,2,-20.000000012466145,1.6020996418196853e-05,0.0,1.3555450439453125
epsilon_constraint,sigma_scale_120,2,19.99999997745813,1.957793681890793e-05,0.0,2.937403082847595
epsilon_constraint,sigma_shrink_30,2,-14.934686494024604,0.0988640291165096,0.0,1.0385984182357788
nsga2,mu_noise_10,2,-0.7155291686410368,-6.639660614131547,0.0,-0.01895153522491455
nsga2,mu_noise_25,2,3.445856649480228,-10.344118587999999,0.0,-0.016073107719421387
nsga2,sigma_scale_080,2,-18.57303583561276,1.8467342242861955,-0.5,0.12325215339660645
nsga2,sigma_scale_120,2,22.332771560315337,0.04360720772767544,0.0,-0.005877375602722168
nsga2,sigma_shrink_30,2,-15.54835885901959,1.6335948580475717,-0.5,0.0682516098022461
weighted_sum,mu_noise_10,2,0.0,-0.43319938124449187,0.0,0.09021615982055664
weighted_sum,mu_noise_25,2,0.0,-2.007687105930243,0.0,-0.022521257400512695
weighted_sum,sigma_scale_080,2,-19.999999999999986,0.0,0.0,0.008637428283691406
weighted_sum,sigma_scale_120,2,20.00000000000002,0.0,0.0,0.3380504846572876
weighted_sum,sigma_shrink_30,2,-12.887452841134486,-1.91386633150884e-11,-0.5,-0.3472893238067627
